version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,1,1,0.5,0.5,130.0
disincentivized strategic,reputation = 0,081106_1449,1,2,0.6,0.55,266.0
disincentivized strategic,reputation = 0,081106_1449,1,3,0.5,0.5333333333333333,408.0
disincentivized strategic,reputation = 0,081106_1449,1,4,0.6,0.55,536.0
disincentivized strategic,reputation = 0,081106_1449,1,5,0.55,0.55,673.0
disincentivized strategic,reputation = 0,081106_1449,1,6,0.6,0.5583333333333333,809.0
disincentivized strategic,reputation = 0,081106_1449,1,7,0.65,0.5714285714285714,952.0
disincentivized strategic,reputation = 0,081106_1449,1,8,0.75,0.59375,1037.0
disincentivized strategic,reputation = 0,081106_1449,1,9,0.5,0.5833333333333334,1167.0
disincentivized strategic,reputation = 0,081106_1449,1,10,0.6,0.585,1303.0
disincentivized strategic,reputation = 0,081106_1449,1,11,0.7,0.5954545454545455,1441.0
disincentivized strategic,reputation = 0,081106_1449,1,12,0.75,0.6083333333333333,1526.0
disincentivized strategic,reputation = 0,081106_1449,1,13,0.5,0.6,1656.0
disincentivized strategic,reputation = 0,081106_1449,1,14,0.6,0.6,1792.0
disincentivized strategic,reputation = 0,081106_1449,1,15,0.7,0.6066666666666667,1934.0
disincentivized strategic,reputation = 0,081106_1449,1,16,0.0,0.56875,2034.0
disincentivized strategic,reputation = 0,081106_1449,1,17,0.5,0.5647058823529412,2164.0
disincentivized strategic,reputation = 0,081106_1449,1,18,0.6,0.5666666666666667,2300.0
disincentivized strategic,reputation = 0,081106_1449,1,19,0.8,0.5789473684210527,2384.0
disincentivized strategic,reputation = 0,081106_1449,1,20,0.0,0.55,2484.8
disincentivized strategic,reputation = 0,081106_1449,1,21,0.5,0.5476190476190477,2614.8
disincentivized strategic,reputation = 0,081106_1449,1,22,0.6,0.5499999999999999,2742.8
disincentivized strategic,reputation = 0,081106_1449,1,23,0.5,0.5478260869565217,2872.8
disincentivized strategic,reputation = 0,081106_1449,1,24,0.0,0.525,2972.8
disincentivized strategic,reputation = 0,081106_1449,2,1,0.5,0.5,130.0
disincentivized strategic,reputation = 0,081106_1449,2,2,0.6,0.55,266.0
disincentivized strategic,reputation = 0,081106_1449,2,3,0.65,0.5833333333333334,393.0
disincentivized strategic,reputation = 0,081106_1449,2,4,0.5,0.5625,531.0
disincentivized strategic,reputation = 0,081106_1449,2,5,0.6,0.5700000000000001,663.0
disincentivized strategic,reputation = 0,081106_1449,2,6,0.6,0.5750000000000001,799.0
disincentivized strategic,reputation = 0,081106_1449,2,7,0.7,0.5928571428571429,937.0
disincentivized strategic,reputation = 0,081106_1449,2,8,0.0,0.51875,1097.0
disincentivized strategic,reputation = 0,081106_1449,2,9,0.5,0.5166666666666667,1227.0
disincentivized strategic,reputation = 0,081106_1449,2,10,0.6,0.525,1363.0
disincentivized strategic,reputation = 0,081106_1449,2,11,0.65,0.5363636363636364,1506.0
disincentivized strategic,reputation = 0,081106_1449,2,12,0.0,0.4916666666666667,1666.0
disincentivized strategic,reputation = 0,081106_1449,2,13,0.5,0.49230769230769234,1796.0
disincentivized strategic,reputation = 0,081106_1449,2,14,0.6,0.5,1932.0
disincentivized strategic,reputation = 0,081106_1449,2,15,0.7,0.5133333333333333,2074.0
disincentivized strategic,reputation = 0,081106_1449,2,16,0.0,0.48125,2174.0
disincentivized strategic,reputation = 0,081106_1449,2,17,0.5,0.48235294117647054,2304.0
disincentivized strategic,reputation = 0,081106_1449,2,18,0.6,0.4888888888888888,2440.0
disincentivized strategic,reputation = 0,081106_1449,2,19,0.0,0.46315789473684205,2604.0
disincentivized strategic,reputation = 0,081106_1449,2,20,0.01,0.44049999999999995,2703.8
disincentivized strategic,reputation = 0,081106_1449,2,21,0.5,0.44333333333333325,2833.8
