reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,1,1,1.0,50,1.0,50
reputation = 0,3,1,2,1.0,0,1.0,50
reputation = 0,3,1,3,1.0,50,1.0,100
reputation = 0,3,1,4,1.0,0,1.0,100
reputation = 0,3,1,5,0.0,70,0.8,170
reputation = 0,3,1,6,1.0,0,0.8333333333333334,170
reputation = 0,3,1,7,1.0,50,0.8571428571428571,220
reputation = 0,3,1,8,1.0,50,0.875,270
reputation = 0,3,1,9,,35,0.875,305
reputation = 0,3,1,10,0.0,35,0.7777777777777778,340
reputation = 0,3,1,11,,35,0.7777777777777778,375
reputation = 0,3,1,12,1.0,50,0.8,425
reputation = 0,3,1,13,1.0,50,0.8181818181818182,475
reputation = 0,3,1,14,1.0,0,0.8333333333333334,475
reputation = 0,3,1,15,1.0,50,0.8461538461538461,525
reputation = 0,3,1,16,1.0,50,0.8571428571428571,575
reputation = 0,3,1,17,0.0,70,0.8,645
reputation = 0,3,1,18,1.0,0,0.8125,645
reputation = 0,3,1,19,,35,0.8125,680
reputation = 0,3,1,20,0.0,35,0.7647058823529411,715
reputation = 0,3,1,21,0.0,70,0.7222222222222222,785
reputation = 0,3,1,22,0.0,35,0.6842105263157895,820
reputation = 0,3,1,23,,35,0.6842105263157895,855
reputation = 0,3,1,24,0.0,35,0.65,890
reputation = 0,3,1,25,,35,0.65,925
reputation = 0,3,1,26,0.0,35,0.6190476190476191,960
reputation = 0,3,1,27,,35,0.6190476190476191,995
reputation = 0,3,1,28,0.0,35,0.5909090909090909,1030
reputation = 0,3,1,29,,35,0.5909090909090909,1065
reputation = 0,3,1,30,0.0,35,0.5652173913043478,1100
reputation = 0,3,2,1,,35,,35
reputation = 0,3,2,2,1.0,50,1.0,85
reputation = 0,3,2,3,1.0,50,1.0,135
reputation = 0,3,2,4,0.0,70,0.6666666666666666,205
reputation = 0,3,2,5,1.0,50,0.75,255
reputation = 0,3,2,6,,35,0.75,290
reputation = 0,3,2,7,0.0,70,0.6,360
reputation = 0,3,2,8,1.0,50,0.6666666666666666,410
reputation = 0,3,2,9,1.0,0,0.7142857142857143,410
reputation = 0,3,2,10,0.0,35,0.625,445
reputation = 0,3,2,11,1.0,50,0.6666666666666666,495
reputation = 0,3,2,12,1.0,0,0.7,495
reputation = 0,3,2,13,1.0,0,0.7272727272727273,495
reputation = 0,3,2,14,,35,0.7272727272727273,530
reputation = 0,3,2,15,,35,0.7272727272727273,565
reputation = 0,3,2,16,0.0,35,0.6666666666666666,600
reputation = 0,3,2,17,,35,0.6666666666666666,635
reputation = 0,3,2,18,0.0,70,0.6153846153846154,705
reputation = 0,3,2,19,0.0,35,0.5714285714285714,740
reputation = 0,3,2,20,0.0,35,0.5333333333333333,775
reputation = 0,3,2,21,0.0,35,0.5,810
reputation = 0,3,2,22,,35,0.5,845
reputation = 0,3,2,23,0.0,35,0.47058823529411764,880
reputation = 0,3,2,24,,35,0.47058823529411764,915
reputation = 0,3,2,25,,35,0.47058823529411764,950
reputation = 0,3,2,26,0.0,35,0.4444444444444444,985
reputation = 0,3,2,27,0.0,35,0.42105263157894735,1020
reputation = 0,3,2,28,,35,0.42105263157894735,1055
reputation = 0,3,2,29,,35,0.42105263157894735,1090
reputation = 0,3,2,30,0.0,35,0.4,1125
reputation = 0,3,3,1,,35,,35
reputation = 0,3,3,2,1.0,50,1.0,85
reputation = 0,3,3,3,,35,1.0,120
reputation = 0,3,3,4,1.0,50,1.0,170
reputation = 0,3,3,5,0.0,35,0.6666666666666666,205
reputation = 0,3,3,6,1.0,50,0.75,255
reputation = 0,3,3,7,1.0,0,0.8,255
reputation = 0,3,3,8,0.0,70,0.6666666666666666,325
reputation = 0,3,3,9,0.0,35,0.5714285714285714,360
reputation = 0,3,3,10,1.0,0,0.625,360
reputation = 0,3,3,11,0.0,70,0.5555555555555556,430
reputation = 0,3,3,12,0.0,35,0.5,465
reputation = 0,3,3,13,0.0,35,0.45454545454545453,500
