reputation,group,player,round,action,avg_action,wealth
reputation = 0,1,1,1,1,1.0,
reputation = 0,1,1,2,1,1.0,
reputation = 0,1,1,3,0,0.6666666666666666,
reputation = 0,1,1,4,1,0.75,
reputation = 0,1,1,5,1,0.8,
reputation = 0,1,1,6,0,0.6666666666666666,
reputation = 0,1,1,7,1,0.7142857142857143,
reputation = 0,1,1,8,0,0.625,
reputation = 0,1,1,9,0,0.5555555555555556,
reputation = 0,1,1,10,1,0.6,
reputation = 0,1,1,11,0,0.5454545454545454,
reputation = 0,1,1,12,0,0.5,
reputation = 0,1,1,13,0,0.46153846153846156,
reputation = 0,1,1,14,0,0.42857142857142855,
reputation = 0,1,1,15,0,0.4,
reputation = 0,1,1,16,0,0.375,
reputation = 0,1,1,17,0,0.35294117647058826,
reputation = 0,1,1,18,0,0.3333333333333333,
reputation = 0,1,1,19,0,0.3157894736842105,
reputation = 0,1,1,20,0,0.3,
reputation = 0,1,1,21,0,0.2857142857142857,
reputation = 0,1,1,22,0,0.2727272727272727,
reputation = 0,1,1,23,0,0.2608695652173913,
reputation = 0,1,1,24,0,0.25,
reputation = 0,1,1,25,0,0.24,1602.0
reputation = 0,1,2,1,0,0.0,
reputation = 0,1,2,2,0,0.0,
reputation = 0,1,2,3,0,0.0,
reputation = 0,1,2,4,0,0.0,
reputation = 0,1,2,5,0,0.0,
reputation = 0,1,2,6,0,0.0,
reputation = 0,1,2,7,0,0.0,
reputation = 0,1,2,8,0,0.0,
reputation = 0,1,2,9,0,0.0,
reputation = 0,1,2,10,0,0.0,
reputation = 0,1,2,11,0,0.0,
reputation = 0,1,2,12,0,0.0,
reputation = 0,1,2,13,0,0.0,
reputation = 0,1,2,14,0,0.0,
reputation = 0,1,2,15,0,0.0,
reputation = 0,1,2,16,0,0.0,
reputation = 0,1,2,17,0,0.0,
reputation = 0,1,2,18,0,0.0,
reputation = 0,1,2,19,0,0.0,
reputation = 0,1,2,20,0,0.0,
reputation = 0,1,2,21,0,0.0,
reputation = 0,1,2,22,0,0.0,
reputation = 0,1,2,23,0,0.0,
reputation = 0,1,2,24,0,0.0,
reputation = 0,1,2,25,0,0.0,1690.0
reputation = 0,1,3,1,1,1.0,
reputation = 0,1,3,2,1,1.0,
reputation = 0,1,3,3,0,0.6666666666666666,
reputation = 0,1,3,4,0,0.5,
reputation = 0,1,3,5,0,0.4,
reputation = 0,1,3,6,0,0.3333333333333333,
reputation = 0,1,3,7,0,0.2857142857142857,
reputation = 0,1,3,8,1,0.375,
reputation = 0,1,3,9,0,0.3333333333333333,
reputation = 0,1,3,10,0,0.3,
reputation = 0,1,3,11,0,0.2727272727272727,
reputation = 0,1,3,12,0,0.25,
reputation = 0,1,3,13,0,0.23076923076923078,
reputation = 0,1,3,14,0,0.21428571428571427,
reputation = 0,1,3,15,0,0.2,
reputation = 0,1,3,16,0,0.1875,
reputation = 0,1,3,17,0,0.17647058823529413,
reputation = 0,1,3,18,0,0.16666666666666666,
reputation = 0,1,3,19,0,0.15789473684210525,
reputation = 0,1,3,20,0,0.15,
reputation = 0,1,3,21,0,0.14285714285714285,
reputation = 0,1,3,22,0,0.13636363636363635,
reputation = 0,1,3,23,0,0.13043478260869565,
reputation = 0,1,3,24,0,0.125,
reputation = 0,1,3,25,0,0.12,1526.0
reputation = 0,1,4,1,0,0.0,
reputation = 0,1,4,2,0,0.0,
reputation = 0,1,4,3,0,0.0,
reputation = 0,1,4,4,0,0.0,
reputation = 0,1,4,5,1,0.2,
reputation = 0,1,4,6,0,0.16666666666666666,
reputation = 0,1,4,7,0,0.14285714285714285,
reputation = 0,1,4,8,0,0.125,
reputation = 0,1,4,9,0,0.1111111111111111,
reputation = 0,1,4,10,1,0.2,
reputation = 0,1,4,11,0,0.18181818181818182,
reputation = 0,1,4,12,0,0.16666666666666666,
reputation = 0,1,4,13,1,0.23076923076923078,
reputation = 0,1,4,14,0,0.21428571428571427,
reputation = 0,1,4,15,0,0.2,
reputation = 0,1,4,16,1,0.25,
reputation = 0,1,4,17,1,0.29411764705882354,
reputation = 0,1,4,18,1,0.3333333333333333,
reputation = 0,1,4,19,1,0.3684210526315789,
reputation = 0,1,4,20,0,0.35,
reputation = 0,1,4,21,0,0.3333333333333333,
reputation = 0,1,4,22,0,0.3181818181818182,
reputation = 0,1,4,23,0,0.30434782608695654,
reputation = 0,1,4,24,0,0.2916666666666667,
reputation = 0,1,4,25,0,0.28,1405.0
reputation = 0,1,5,1,0,0.0,
reputation = 0,1,5,2,0,0.0,
reputation = 0,1,5,3,0,0.0,
reputation = 0,1,5,4,0,0.0,
reputation = 0,1,5,5,0,0.0,
reputation = 0,1,5,6,0,0.0,
reputation = 0,1,5,7,0,0.0,
reputation = 0,1,5,8,0,0.0,
reputation = 0,1,5,9,0,0.0,
reputation = 0,1,5,10,0,0.0,
reputation = 0,1,5,11,0,0.0,
reputation = 0,1,5,12,0,0.0,
reputation = 0,1,5,13,0,0.0,
reputation = 0,1,5,14,0,0.0,
reputation = 0,1,5,15,0,0.0,
reputation = 0,1,5,16,0,0.0,
reputation = 0,1,5,17,0,0.0,
reputation = 0,1,5,18,0,0.0,
reputation = 0,1,5,19,0,0.0,
reputation = 0,1,5,20,0,0.0,
reputation = 0,1,5,21,0,0.0,
reputation = 0,1,5,22,0,0.0,
reputation = 0,1,5,23,0,0.0,
reputation = 0,1,5,24,0,0.0,
reputation = 0,1,5,25,0,0.0,1960.0
reputation = 0,1,6,1,1,1.0,
reputation = 0,1,6,2,1,1.0,
reputation = 0,1,6,3,1,1.0,
reputation = 0,1,6,4,0,0.75,
reputation = 0,1,6,5,0,0.6,
reputation = 0,1,6,6,0,0.5,
reputation = 0,1,6,7,0,0.42857142857142855,
reputation = 0,1,6,8,0,0.375,
reputation = 0,1,6,9,1,0.4444444444444444,
reputation = 0,1,6,10,0,0.4,
reputation = 0,1,6,11,0,0.36363636363636365,
reputation = 0,1,6,12,1,0.4166666666666667,
reputation = 0,1,6,13,1,0.46153846153846156,
reputation = 0,1,6,14,1,0.5,
reputation = 0,1,6,15,0,0.4666666666666667,
reputation = 0,1,6,16,1,0.5,
reputation = 0,1,6,17,1,0.5294117647058824,
reputation = 0,1,6,18,0,0.5,
reputation = 0,1,6,19,0,0.47368421052631576,
reputation = 0,1,6,20,0,0.45,
reputation = 0,1,6,21,0,0.42857142857142855,
reputation = 0,1,6,22,1,0.45454545454545453,
reputation = 0,1,6,23,1,0.4782608695652174,
reputation = 0,1,6,24,0,0.4583333333333333,
reputation = 0,1,6,25,0,0.44,1949.0
reputation = 0,1,7,1,0,0.0,
reputation = 0,1,7,2,0,0.0,
reputation = 0,1,7,3,0,0.0,
reputation = 0,1,7,4,0,0.0,
reputation = 0,1,7,5,0,0.0,
reputation = 0,1,7,6,0,0.0,
reputation = 0,1,7,7,0,0.0,
reputation = 0,1,7,8,0,0.0,
reputation = 0,1,7,9,0,0.0,
reputation = 0,1,7,10,0,0.0,
