version,reputation,group,player,round,action,payoff,avg_action,wealth
high gain,reputation = 0,7,61,1,1.0,17.0,1.0,17.0
high gain,reputation = 0,7,61,2,1.0,17.0,1.0,34.0
high gain,reputation = 0,7,61,3,1.0,8.5,1.0,42.5
high gain,reputation = 0,7,61,4,1.0,17.0,1.0,59.5
high gain,reputation = 0,7,61,5,1.0,17.0,1.0,76.5
high gain,reputation = 0,7,61,6,1.0,14.45,1.0,90.95
high gain,reputation = 0,7,61,7,1.0,17.0,1.0,107.95
high gain,reputation = 0,7,61,8,1.0,8.5,1.0,116.45
high gain,reputation = 0,7,61,9,0.7,17.45,0.9666666666666666,133.9
high gain,reputation = 0,7,61,10,1.0,8.5,0.97,142.4
high gain,reputation = 0,7,61,11,1.0,10.2,0.9727272727272727,152.6
high gain,reputation = 0,7,61,12,1.0,8.5,0.975,161.1
high gain,reputation = 0,7,61,13,1.0,17.0,0.9769230769230769,178.1
high gain,reputation = 0,7,61,14,1.0,17.0,0.9785714285714285,195.1
high gain,reputation = 0,7,61,15,0.0,10.0,0.9133333333333333,205.1
high gain,reputation = 0,7,61,16,1.0,17.0,0.91875,222.1
high gain,reputation = 0,7,61,17,0.0,10.0,0.8647058823529411,232.1
high gain,reputation = 0,7,61,18,0.0,10.0,0.8166666666666667,242.1
high gain,reputation = 0,7,61,19,1.0,17.0,0.8263157894736842,259.1
high gain,reputation = 0,7,61,20,1.0,17.0,0.835,276.1
high gain,reputation = 0,7,61,21,1.0,8.5,0.8428571428571429,284.6
high gain,reputation = 0,7,61,22,1.0,17.0,0.85,301.6
high gain,reputation = 0,7,61,23,1.0,17.0,0.8565217391304347,318.6
high gain,reputation = 0,7,61,24,1.0,17.0,0.8624999999999999,335.6
high gain,reputation = 0,7,61,25,1.0,17.0,0.868,352.6
high gain,reputation = 0,7,61,26,1.0,17.0,0.8730769230769231,369.6
high gain,reputation = 0,7,61,27,0.0,10.0,0.8407407407407407,379.6
high gain,reputation = 0,7,61,28,1.0,17.0,0.8464285714285714,396.6
high gain,reputation = 0,7,61,29,1.0,8.5,0.8517241379310344,405.1
high gain,reputation = 0,7,61,30,1.0,8.5,0.8566666666666667,413.6
high gain,reputation = 0,7,61,31,1.0,17.0,0.8612903225806451,430.6
high gain,reputation = 0,7,61,32,1.0,8.5,0.865625,439.1
high gain,reputation = 0,7,61,33,1.0,17.0,0.8696969696969696,456.1
high gain,reputation = 0,7,61,34,1.0,17.0,0.8735294117647059,473.1
high gain,reputation = 0,7,61,35,1.0,17.0,0.8771428571428571,490.1
