version,reputation,group,player,round,action,payoff,avg_action,wealth
"non-targeted, random",reputation = 0,89,2158,1,1.0,250,1.0,1250
"non-targeted, random",reputation = 0,89,2158,2,1.0,250,1.0,1500
"non-targeted, random",reputation = 0,89,2158,3,1.0,250,1.0,1750
"non-targeted, random",reputation = 0,89,2158,4,1.0,250,1.0,2000
"non-targeted, random",reputation = 0,89,2158,5,1.0,250,1.0,2250
"non-targeted, random",reputation = 0,89,2158,6,1.0,250,1.0,2500
"non-targeted, random",reputation = 0,89,2158,7,1.0,250,1.0,2750
"non-targeted, random",reputation = 0,89,2158,8,1.0,250,1.0,3000
"non-targeted, random",reputation = 0,89,2158,9,1.0,250,1.0,3250
"non-targeted, random",reputation = 0,89,2158,10,1.0,250,1.0,3500
"non-targeted, random",reputation = 0,89,2158,11,1.0,250,1.0,3750
"non-targeted, random",reputation = 0,89,2158,12,1.0,250,1.0,4000
"non-targeted, random",reputation = 0,89,2158,13,1.0,250,1.0,4250
"non-targeted, random",reputation = 0,89,2158,14,1.0,250,1.0,4500
"non-targeted, random",reputation = 0,89,2158,15,1.0,250,1.0,4750
"non-targeted, random",reputation = 0,89,2158,16,1.0,250,1.0,5000
"non-targeted, random",reputation = 0,89,2159,1,1.0,50,1.0,1050
"non-targeted, random",reputation = 0,89,2159,2,1.0,100,1.0,1150
"non-targeted, random",reputation = 0,89,2159,3,1.0,100,1.0,1250
"non-targeted, random",reputation = 0,89,2159,4,1.0,100,1.0,1350
"non-targeted, random",reputation = 0,89,2159,5,1.0,100,1.0,1450
"non-targeted, random",reputation = 0,89,2159,6,1.0,100,1.0,1550
"non-targeted, random",reputation = 0,89,2159,7,1.0,100,1.0,1650
"non-targeted, random",reputation = 0,89,2159,8,1.0,100,1.0,1750
"non-targeted, random",reputation = 0,89,2159,9,1.0,100,1.0,1850
"non-targeted, random",reputation = 0,89,2159,10,1.0,100,1.0,1950
"non-targeted, random",reputation = 0,89,2159,11,1.0,100,1.0,2050
"non-targeted, random",reputation = 0,89,2159,12,1.0,100,1.0,2150
"non-targeted, random",reputation = 0,89,2159,13,1.0,100,1.0,2250
"non-targeted, random",reputation = 0,89,2159,14,1.0,100,1.0,2350
"non-targeted, random",reputation = 0,89,2159,15,1.0,100,1.0,2450
"non-targeted, random",reputation = 0,89,2159,16,1.0,100,1.0,2550
"non-targeted, random",reputation = 0,89,2160,1,1.0,100,1.0,1100
"non-targeted, random",reputation = 0,89,2160,2,1.0,100,1.0,1200
"non-targeted, random",reputation = 0,89,2160,3,1.0,100,1.0,1300
"non-targeted, random",reputation = 0,89,2160,4,1.0,100,1.0,1400
"non-targeted, random",reputation = 0,89,2160,5,1.0,100,1.0,1500
"non-targeted, random",reputation = 0,89,2160,6,1.0,100,1.0,1600
"non-targeted, random",reputation = 0,89,2160,7,1.0,100,1.0,1700
"non-targeted, random",reputation = 0,89,2160,8,1.0,100,1.0,1800
"non-targeted, random",reputation = 0,89,2160,9,1.0,100,1.0,1900
"non-targeted, random",reputation = 0,89,2160,10,1.0,100,1.0,2000
"non-targeted, random",reputation = 0,89,2160,11,1.0,100,1.0,2100
"non-targeted, random",reputation = 0,89,2160,12,1.0,100,1.0,2200
"non-targeted, random",reputation = 0,89,2160,13,1.0,100,1.0,2300
"non-targeted, random",reputation = 0,89,2160,14,1.0,100,1.0,2400
"non-targeted, random",reputation = 0,89,2160,15,1.0,100,1.0,2500
"non-targeted, random",reputation = 0,89,2160,16,1.0,100,1.0,2600
"non-targeted, random",reputation = 0,89,2161,1,1.0,100,1.0,1100
"non-targeted, random",reputation = 0,89,2161,2,1.0,300,1.0,1400
"non-targeted, random",reputation = 0,89,2161,3,1.0,300,1.0,1700
"non-targeted, random",reputation = 0,89,2161,4,1.0,300,1.0,2000
"non-targeted, random",reputation = 0,89,2161,5,1.0,300,1.0,2300
"non-targeted, random",reputation = 0,89,2161,6,1.0,300,1.0,2600
"non-targeted, random",reputation = 0,89,2161,7,1.0,300,1.0,2900
"non-targeted, random",reputation = 0,89,2161,8,1.0,300,1.0,3200
"non-targeted, random",reputation = 0,89,2161,9,1.0,300,1.0,3500
"non-targeted, random",reputation = 0,89,2161,10,1.0,300,1.0,3800
"non-targeted, random",reputation = 0,89,2161,11,1.0,300,1.0,4100
"non-targeted, random",reputation = 0,89,2161,12,1.0,300,1.0,4400
"non-targeted, random",reputation = 0,89,2161,13,1.0,300,1.0,4700
"non-targeted, random",reputation = 0,89,2161,14,1.0,300,1.0,5000
"non-targeted, random",reputation = 0,89,2161,15,1.0,300,1.0,5300
"non-targeted, random",reputation = 0,89,2161,16,1.0,300,1.0,5600
"non-targeted, random",reputation = 0,89,2162,1,0.0,100,0.0,1100
"non-targeted, random",reputation = 0,89,2163,1,1.0,50,1.0,1050
"non-targeted, random",reputation = 0,89,2163,2,1.0,100,1.0,1150
"non-targeted, random",reputation = 0,89,2163,3,1.0,100,1.0,1250
"non-targeted, random",reputation = 0,89,2163,4,1.0,100,1.0,1350
"non-targeted, random",reputation = 0,89,2163,5,1.0,100,1.0,1450
"non-targeted, random",reputation = 0,89,2163,6,1.0,100,1.0,1550
"non-targeted, random",reputation = 0,89,2163,7,1.0,100,1.0,1650
"non-targeted, random",reputation = 0,89,2163,8,1.0,100,1.0,1750
"non-targeted, random",reputation = 0,89,2163,9,1.0,100,1.0,1850
"non-targeted, random",reputation = 0,89,2163,10,1.0,100,1.0,1950
"non-targeted, random",reputation = 0,89,2163,11,1.0,100,1.0,2050
"non-targeted, random",reputation = 0,89,2163,12,1.0,100,1.0,2150
"non-targeted, random",reputation = 0,89,2163,13,1.0,100,1.0,2250
"non-targeted, random",reputation = 0,89,2163,14,1.0,100,1.0,2350
"non-targeted, random",reputation = 0,89,2163,15,1.0,100,1.0,2450
"non-targeted, random",reputation = 0,89,2163,16,1.0,100,1.0,2550
"non-targeted, random",reputation = 0,89,2164,1,1.0,100,1.0,1100
"non-targeted, random",reputation = 0,89,2164,2,1.0,200,1.0,1300
"non-targeted, random",reputation = 0,89,2164,3,1.0,200,1.0,1500
"non-targeted, random",reputation = 0,89,2164,4,1.0,200,1.0,1700
"non-targeted, random",reputation = 0,89,2164,5,1.0,200,1.0,1900
"non-targeted, random",reputation = 0,89,2164,6,1.0,200,1.0,2100
"non-targeted, random",reputation = 0,89,2164,7,1.0,200,1.0,2300
"non-targeted, random",reputation = 0,89,2164,8,1.0,200,1.0,2500
"non-targeted, random",reputation = 0,89,2164,9,1.0,200,1.0,2700
"non-targeted, random",reputation = 0,89,2164,10,1.0,200,1.0,2900
"non-targeted, random",reputation = 0,89,2164,11,1.0,200,1.0,3100
"non-targeted, random",reputation = 0,89,2164,12,1.0,200,1.0,3300
"non-targeted, random",reputation = 0,89,2164,13,1.0,200,1.0,3500
"non-targeted, random",reputation = 0,89,2164,14,1.0,200,1.0,3700
"non-targeted, random",reputation = 0,89,2164,15,1.0,200,1.0,3900
"non-targeted, random",reputation = 0,89,2164,16,1.0,200,1.0,4100
"non-targeted, random",reputation = 0,89,2165,1,0.0,500,0.0,1500
"non-targeted, random",reputation = 0,89,2165,2,1.0,300,0.5,1800
"non-targeted, random",reputation = 0,89,2165,3,1.0,300,0.6666666666666666,2100
"non-targeted, random",reputation = 0,89,2165,4,1.0,300,0.75,2400
"non-targeted, random",reputation = 0,89,2165,5,1.0,300,0.8,2700
"non-targeted, random",reputation = 0,89,2165,6,1.0,300,0.8333333333333334,3000
"non-targeted, random",reputation = 0,89,2165,7,1.0,300,0.8571428571428571,3300
"non-targeted, random",reputation = 0,89,2165,8,1.0,300,0.875,3600
"non-targeted, random",reputation = 0,89,2165,9,1.0,300,0.8888888888888888,3900
"non-targeted, random",reputation = 0,89,2165,10,1.0,300,0.9,4200
"non-targeted, random",reputation = 0,89,2165,11,1.0,300,0.9090909090909091,4500
"non-targeted, random",reputation = 0,89,2165,12,1.0,300,0.9166666666666666,4800
"non-targeted, random",reputation = 0,89,2165,13,1.0,300,0.9230769230769231,5100
"non-targeted, random",reputation = 0,89,2165,14,1.0,300,0.9285714285714286,5400
"non-targeted, random",reputation = 0,89,2165,15,1.0,300,0.9333333333333333,5700
"non-targeted, random",reputation = 0,89,2165,16,1.0,300,0.9375,6000
"non-targeted, random",reputation = 0,89,2166,1,1.0,-50,1.0,950
"non-targeted, random",reputation = 0,89,2166,2,1.0,50,1.0,1000
"non-targeted, random",reputation = 0,89,2166,3,1.0,50,1.0,1050
"non-targeted, random",reputation = 0,89,2166,4,1.0,50,1.0,1100
"non-targeted, random",reputation = 0,89,2166,5,1.0,150,1.0,1250
"non-targeted, random",reputation = 0,89,2166,6,1.0,150,1.0,1400
"non-targeted, random",reputation = 0,89,2166,7,1.0,150,1.0,1550
"non-targeted, random",reputation = 0,89,2166,8,1.0,100,1.0,1650
"non-targeted, random",reputation = 0,89,2166,9,1.0,100,1.0,1750
"non-targeted, random",reputation = 0,89,2166,10,1.0,100,1.0,1850
"non-targeted, random",reputation = 0,89,2166,11,1.0,100,1.0,1950
"non-targeted, random",reputation = 0,89,2166,12,1.0,100,1.0,2050
"non-targeted, random",reputation = 0,89,2166,13,1.0,100,1.0,2150
