version,reputation,group,player,round,action,payoff,avg_action,wealth
"non-targeted, clustered",reputation = 0,8,171,1,1.0,-25.0,1.0,975.0
"non-targeted, clustered",reputation = 0,8,171,2,1.0,50.0,1.0,1025.0
"non-targeted, clustered",reputation = 0,8,171,3,1.0,50.0,1.0,1075.0
"non-targeted, clustered",reputation = 0,8,171,4,1.0,50.0,1.0,1125.0
"non-targeted, clustered",reputation = 0,8,171,5,1.0,50.0,1.0,1175.0
"non-targeted, clustered",reputation = 0,8,171,6,1.0,50.0,1.0,1225.0
"non-targeted, clustered",reputation = 0,8,171,7,1.0,50.0,1.0,1275.0
"non-targeted, clustered",reputation = 0,8,171,8,1.0,50.0,1.0,1325.0
"non-targeted, clustered",reputation = 0,8,171,9,1.0,50.0,1.0,1375.0
"non-targeted, clustered",reputation = 0,8,171,10,1.0,50.0,1.0,1425.0
"non-targeted, clustered",reputation = 0,8,171,11,1.0,50.0,1.0,1475.0
"non-targeted, clustered",reputation = 0,8,171,12,1.0,50.0,1.0,1525.0
"non-targeted, clustered",reputation = 0,8,171,13,1.0,50.0,1.0,1575.0
"non-targeted, clustered",reputation = 0,8,171,14,1.0,50.0,1.0,1625.0
"non-targeted, clustered",reputation = 0,8,171,15,1.0,50.0,1.0,1675.0
"non-targeted, clustered",reputation = 0,8,171,16,1.0,50.0,1.0,1725.0
"non-targeted, clustered",reputation = 0,8,172,1,1.0,0.0,1.0,1000.0
"non-targeted, clustered",reputation = 0,8,172,2,1.0,50.0,1.0,1050.0
"non-targeted, clustered",reputation = 0,8,172,3,1.0,50.0,1.0,1100.0
"non-targeted, clustered",reputation = 0,8,172,4,1.0,50.0,1.0,1150.0
"non-targeted, clustered",reputation = 0,8,172,5,1.0,50.0,1.0,1200.0
"non-targeted, clustered",reputation = 0,8,172,6,1.0,50.0,1.0,1250.0
"non-targeted, clustered",reputation = 0,8,172,7,1.0,50.0,1.0,1300.0
"non-targeted, clustered",reputation = 0,8,172,8,1.0,50.0,1.0,1350.0
"non-targeted, clustered",reputation = 0,8,172,9,1.0,50.0,1.0,1400.0
"non-targeted, clustered",reputation = 0,8,172,10,1.0,50.0,1.0,1450.0
"non-targeted, clustered",reputation = 0,8,172,11,1.0,50.0,1.0,1500.0
"non-targeted, clustered",reputation = 0,8,172,12,1.0,50.0,1.0,1550.0
"non-targeted, clustered",reputation = 0,8,172,13,1.0,50.0,1.0,1600.0
"non-targeted, clustered",reputation = 0,8,172,14,1.0,50.0,1.0,1650.0
"non-targeted, clustered",reputation = 0,8,172,15,1.0,50.0,1.0,1700.0
"non-targeted, clustered",reputation = 0,8,172,16,1.0,50.0,1.0,1750.0
"non-targeted, clustered",reputation = 0,8,173,1,1.0,50.0,1.0,1050.0
"non-targeted, clustered",reputation = 0,8,173,2,1.0,50.0,1.0,1100.0
"non-targeted, clustered",reputation = 0,8,173,3,1.0,50.0,1.0,1150.0
"non-targeted, clustered",reputation = 0,8,173,4,1.0,50.0,1.0,1200.0
"non-targeted, clustered",reputation = 0,8,173,5,1.0,50.0,1.0,1250.0
"non-targeted, clustered",reputation = 0,8,173,6,1.0,50.0,1.0,1300.0
"non-targeted, clustered",reputation = 0,8,173,7,1.0,50.0,1.0,1350.0
"non-targeted, clustered",reputation = 0,8,173,8,1.0,50.0,1.0,1400.0
"non-targeted, clustered",reputation = 0,8,173,9,1.0,50.0,1.0,1450.0
"non-targeted, clustered",reputation = 0,8,173,10,1.0,50.0,1.0,1500.0
"non-targeted, clustered",reputation = 0,8,173,11,1.0,50.0,1.0,1550.0
"non-targeted, clustered",reputation = 0,8,173,12,1.0,50.0,1.0,1600.0
"non-targeted, clustered",reputation = 0,8,173,13,1.0,50.0,1.0,1650.0
"non-targeted, clustered",reputation = 0,8,173,14,1.0,50.0,1.0,1700.0
