action,group,payoff,player,round,reputation,avg_action,wealth
,9,250,1,1,reputation = 0,,3250.0
,9,0,1,2,reputation = 0,,3250.0
,9,250,1,3,reputation = 0,,3500.0
,9,250,1,4,reputation = 0,,3750.0
,9,0,1,5,reputation = 0,,3750.0
,9,250,1,6,reputation = 0,,4000.0
,9,0,1,7,reputation = 0,,4000.0
,9,0,1,8,reputation = 0,,4000.0
,9,0,1,9,reputation = 0,,4000.0
,9,250,1,10,reputation = 0,,4250.0
1.0,9,-150,1,11,reputation = 0,1.0,4100.0
1.0,9,-150,1,12,reputation = 0,1.0,3950.0
,9,0,1,13,reputation = 0,1.0,3950.0
1.0,9,-150,1,14,reputation = 0,1.0,3800.0
1.0,9,-150,1,15,reputation = 0,1.0,3650.0
,9,250,1,16,reputation = 0,1.0,3900.0
,9,0,1,17,reputation = 0,1.0,3900.0
1.0,9,-150,1,18,reputation = 0,1.0,3750.0
,9,0,1,19,reputation = 0,1.0,3750.0
,9,0,1,20,reputation = 0,1.0,3750.0
0.0,9,0,1,21,reputation = 0,0.8333333333333334,3750.0
0.0,9,0,1,22,reputation = 0,0.7142857142857143,3750.0
1.0,9,-150,1,23,reputation = 0,0.75,3600.0
0.0,9,0,1,24,reputation = 0,0.6666666666666666,3600.0
,9,0,1,25,reputation = 0,0.6666666666666666,3600.0
1.0,9,-150,1,26,reputation = 0,0.7,3450.0
,9,0,1,27,reputation = 0,0.7,3450.0
,9,0,1,28,reputation = 0,0.7,3450.0
0.0,9,0,1,29,reputation = 0,0.6363636363636364,3450.0
0.0,9,0,1,30,reputation = 0,0.5833333333333334,3450.0
,9,250,1,31,reputation = 0,0.5833333333333334,3700.0
,9,250,1,32,reputation = 0,0.5833333333333334,3950.0
1.0,9,-150,1,33,reputation = 0,0.6153846153846154,3800.0
,9,0,1,34,reputation = 0,0.6153846153846154,3800.0
,9,250,1,35,reputation = 0,0.6153846153846154,4050.0
1.0,9,-150,1,36,reputation = 0,0.6428571428571429,3900.0
1.0,9,-150,1,37,reputation = 0,0.6666666666666666,3750.0
,9,0,1,38,reputation = 0,0.6666666666666666,3750.0
,9,0,1,39,reputation = 0,0.6666666666666666,3750.0
0.0,9,0,1,40,reputation = 0,0.625,3750.0
,9,250,1,41,reputation = 0,0.625,4000.0
,9,250,1,42,reputation = 0,0.625,4250.0
1.0,9,-150,1,43,reputation = 0,0.6470588235294118,4100.0
,9,250,1,44,reputation = 0,0.6470588235294118,4350.0
,9,0,1,45,reputation = 0,0.6470588235294118,4350.0
,9,0,1,46,reputation = 0,0.6470588235294118,4350.0
,9,0,1,47,reputation = 0,0.6470588235294118,4350.0
1.0,9,-150,1,48,reputation = 0,0.6666666666666666,4200.0
,9,0,1,49,reputation = 0,0.6666666666666666,4200.0
1.0,9,-150,1,50,reputation = 0,0.6842105263157895,4050.0
,9,0,1,51,reputation = 0,0.6842105263157895,4050.0
,9,250,1,52,reputation = 0,0.6842105263157895,4300.0
1.0,9,-150,1,53,reputation = 0,0.7,4150.0
,9,0,1,54,reputation = 0,0.7,4150.0
0.0,9,0,1,55,reputation = 0,0.6666666666666666,4150.0
,9,0,1,56,reputation = 0,0.6666666666666666,4150.0
0.0,9,0,1,57,reputation = 0,0.6363636363636364,4150.0
0.0,9,0,1,58,reputation = 0,0.6086956521739131,4150.0
1.0,9,-150,1,59,reputation = 0,0.625,4000.0
0.0,9,0,1,60,reputation = 0,0.6,4000.0
1.0,9,-150,1,61,reputation = 0,0.6153846153846154,3850.0
,9,0,1,62,reputation = 0,0.6153846153846154,3850.0
0.0,9,0,1,63,reputation = 0,0.5925925925925926,3850.0
,9,0,1,64,reputation = 0,0.5925925925925926,3850.0
0.0,9,0,1,65,reputation = 0,0.5714285714285714,3850.0
,9,0,1,66,reputation = 0,0.5714285714285714,3850.0
,9,250,1,67,reputation = 0,0.5714285714285714,4100.0
,9,0,1,68,reputation = 0,0.5714285714285714,4100.0
0.0,9,0,1,69,reputation = 0,0.5517241379310345,4100.0
0.0,9,0,1,70,reputation = 0,0.5333333333333333,4100.0
0.0,9,0,1,71,reputation = 0,0.5161290322580645,4100.0
,9,0,1,72,reputation = 0,0.5161290322580645,4100.0
,9,0,1,73,reputation = 0,0.5161290322580645,4100.0
,9,250,1,74,reputation = 0,0.5161290322580645,4350.0
,9,0,1,75,reputation = 0,0.5161290322580645,4350.0
1.0,9,-150,1,76,reputation = 0,0.53125,4200.0
,9,0,1,77,reputation = 0,0.53125,4200.0
1.0,9,-150,1,78,reputation = 0,0.5454545454545454,4050.0
0.0,9,0,1,79,reputation = 0,0.5294117647058824,4050.0
0.0,9,0,1,80,reputation = 0,0.5142857142857142,4050.0
0.0,9,0,1,81,reputation = 0,0.5,4050.0
,9,0,1,82,reputation = 0,0.5,4050.0
,9,0,1,83,reputation = 0,0.5,4050.0
0.0,9,0,1,84,reputation = 0,0.4864864864864865,4050.0
0.0,9,0,1,85,reputation = 0,0.47368421052631576,4050.0
,9,0,1,86,reputation = 0,0.47368421052631576,4050.0
0.0,9,0,1,87,reputation = 0,0.46153846153846156,4050.0
0.0,9,0,1,88,reputation = 0,0.45,4050.0
,9,0,1,89,reputation = 0,0.45,4050.0
,9,250,1,90,reputation = 0,0.45,4300.0
,9,0,1,91,reputation = 0,0.45,4300.0
,9,0,1,92,reputation = 0,0.45,4300.0
0.0,9,0,1,93,reputation = 0,0.43902439024390244,4300.0
,9,0,1,94,reputation = 0,0.43902439024390244,4300.0
,9,0,1,95,reputation = 0,0.43902439024390244,4300.0
,9,0,1,96,reputation = 0,0.43902439024390244,4300.0
,9,0,2,1,reputation = 0,,3000.0
0.0,9,0,2,2,reputation = 0,0.0,3000.0
0.0,9,0,2,3,reputation = 0,0.0,3000.0
,9,0,2,4,reputation = 0,0.0,3000.0
,9,0,2,5,reputation = 0,0.0,3000.0
0.0,9,0,2,6,reputation = 0,0.0,3000.0
,9,250,2,7,reputation = 0,0.0,3250.0
,9,0,2,8,reputation = 0,0.0,3250.0
,9,0,2,9,reputation = 0,0.0,3250.0
0.0,9,0,2,10,reputation = 0,0.0,3250.0
,9,0,2,11,reputation = 0,0.0,3250.0
0.0,9,0,2,12,reputation = 0,0.0,3250.0
,9,0,2,13,reputation = 0,0.0,3250.0
,9,0,2,14,reputation = 0,0.0,3250.0
,9,0,2,15,reputation = 0,0.0,3250.0
0.0,9,0,2,16,reputation = 0,0.0,3250.0
0.0,9,0,2,17,reputation = 0,0.0,3250.0
,9,0,2,18,reputation = 0,0.0,3250.0
0.0,9,0,2,19,reputation = 0,0.0,3250.0
,9,0,2,20,reputation = 0,0.0,3250.0
0.0,9,0,2,21,reputation = 0,0.0,3250.0
,9,0,2,22,reputation = 0,0.0,3250.0
0.0,9,0,2,23,reputation = 0,0.0,3250.0
,9,0,2,24,reputation = 0,0.0,3250.0
,9,0,2,25,reputation = 0,0.0,3250.0
0.0,9,0,2,26,reputation = 0,0.0,3250.0
0.0,9,0,2,27,reputation = 0,0.0,3250.0
0.0,9,0,2,28,reputation = 0,0.0,3250.0
,9,0,2,29,reputation = 0,0.0,3250.0
0.0,9,0,2,30,reputation = 0,0.0,3250.0
,9,0,2,31,reputation = 0,0.0,3250.0
,9,0,2,32,reputation = 0,0.0,3250.0
,9,250,2,33,reputation = 0,0.0,3500.0
0.0,9,0,2,34,reputation = 0,0.0,3500.0
,9,250,2,35,reputation = 0,0.0,3750.0
,9,0,2,36,reputation = 0,0.0,3750.0
0.0,9,0,2,37,reputation = 0,0.0,3750.0
0.0,9,0,2,38,reputation = 0,0.0,3750.0
0.0,9,0,2,39,reputation = 0,0.0,3750.0
,9,0,2,40,reputation = 0,0.0,3750.0
1.0,9,-150,2,41,reputation = 0,0.05263157894736842,3600.0
1.0,9,-150,2,42,reputation = 0,0.1,3450.0
,9,0,2,43,reputation = 0,0.1,3450.0
,9,0,2,44,reputation = 0,0.1,3450.0
,9,250,2,45,reputation = 0,0.1,3700.0
,9,0,2,46,reputation = 0,0.1,3700.0
,9,0,2,47,reputation = 0,0.1,3700.0
,9,0,2,48,reputation = 0,0.1,3700.0
1.0,9,-150,2,49,reputation = 0,0.14285714285714285,3550.0
,9,0,2,50,reputation = 0,0.14285714285714285,3550.0
1.0,9,-150,2,51,reputation = 0,0.18181818181818182,3400.0
1.0,9,-150,2,52,reputation = 0,0.21739130434782608,3250.0
,9,0,2,53,reputation = 0,0.21739130434782608,3250.0
