reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,040909,1001,1,0,20,0.0,20
reputation = 0,040909,1001,2,0,20,0.0,40
reputation = 0,040909,1001,3,0,20,0.0,60
reputation = 0,040909,1001,4,0,90,0.0,150
reputation = 0,040909,1001,5,0,20,0.0,170
reputation = 0,040909,1001,6,0,90,0.0,260
reputation = 0,040909,1001,7,0,20,0.0,280
reputation = 0,040909,1001,8,0,90,0.0,370
reputation = 0,040909,1001,9,0,20,0.0,390
reputation = 0,040909,1001,10,0,90,0.0,480
reputation = 0,040909,1001,11,0,20,0.0,500
reputation = 0,040909,1001,12,0,20,0.0,520
reputation = 0,040909,1001,13,0,90,0.0,610
reputation = 0,040909,1001,14,0,20,0.0,630
reputation = 0,040909,1001,15,0,20,0.0,650
reputation = 0,040909,1001,16,0,90,0.0,740
reputation = 0,040909,1001,17,0,90,0.0,830
reputation = 0,040909,1001,18,0,20,0.0,850
reputation = 0,040909,1001,19,0,20,0.0,870
reputation = 0,040909,1001,20,0,20,0.0,890
reputation = 0,040909,1001,21,0,20,0.0,910
reputation = 0,040909,1001,22,0,20,0.0,930
reputation = 0,040909,1001,23,0,20,0.0,950
reputation = 0,040909,1001,24,0,20,0.0,970
reputation = 0,040909,1002,1,1,10,1.0,10
reputation = 0,040909,1002,2,0,20,0.5,30
reputation = 0,040909,1002,3,0,90,0.3333333333333333,120
reputation = 0,040909,1002,4,0,90,0.25,210
reputation = 0,040909,1002,5,0,90,0.2,300
reputation = 0,040909,1002,6,0,20,0.16666666666666666,320
reputation = 0,040909,1002,7,1,80,0.2857142857142857,400
reputation = 0,040909,1002,8,1,80,0.375,480
reputation = 0,040909,1002,9,1,80,0.4444444444444444,560
reputation = 0,040909,1002,10,1,10,0.5,570
reputation = 0,040909,1002,11,0,90,0.45454545454545453,660
reputation = 0,040909,1002,12,0,20,0.4166666666666667,680
reputation = 0,040909,1002,13,0,90,0.38461538461538464,770
reputation = 0,040909,1002,14,0,20,0.35714285714285715,790
reputation = 0,040909,1002,15,0,90,0.3333333333333333,880
reputation = 0,040909,1002,16,0,20,0.3125,900
reputation = 0,040909,1002,17,0,20,0.29411764705882354,920
reputation = 0,040909,1002,18,0,20,0.2777777777777778,940
reputation = 0,040909,1002,19,1,10,0.3157894736842105,950
reputation = 0,040909,1002,20,0,20,0.3,970
reputation = 0,040909,1002,21,0,20,0.2857142857142857,990
reputation = 0,040909,1002,22,0,20,0.2727272727272727,1010
reputation = 0,040909,1002,23,0,20,0.2608695652173913,1030
reputation = 0,040909,1002,24,0,20,0.25,1050
reputation = 0,040909,1003,1,0,90,0.0,90
reputation = 0,040909,1003,2,0,20,0.0,110
reputation = 0,040909,1003,3,0,20,0.0,130
reputation = 0,040909,1003,4,1,80,0.25,210
reputation = 0,040909,1003,5,0,90,0.2,300
reputation = 0,040909,1003,6,0,90,0.16666666666666666,390
reputation = 0,040909,1003,7,0,20,0.14285714285714285,410
reputation = 0,040909,1003,8,0,20,0.125,430
reputation = 0,040909,1003,9,0,20,0.1111111111111111,450
reputation = 0,040909,1003,10,0,90,0.1,540
reputation = 0,040909,1003,11,0,20,0.09090909090909091,560
reputation = 0,040909,1003,12,0,90,0.08333333333333333,650
reputation = 0,040909,1003,13,0,20,0.07692307692307693,670
reputation = 0,040909,1003,14,0,90,0.07142857142857142,760
reputation = 0,040909,1003,15,0,90,0.06666666666666667,850
reputation = 0,040909,1003,16,0,20,0.0625,870
reputation = 0,040909,1003,17,0,90,0.058823529411764705,960
reputation = 0,040909,1003,18,0,20,0.05555555555555555,980
reputation = 0,040909,1003,19,0,20,0.05263157894736842,1000
reputation = 0,040909,1003,20,0,20,0.05,1020
reputation = 0,040909,1003,21,0,20,0.047619047619047616,1040
reputation = 0,040909,1003,22,0,20,0.045454545454545456,1060
reputation = 0,040909,1003,23,0,20,0.043478260869565216,1080
reputation = 0,040909,1003,24,0,20,0.041666666666666664,1100
reputation = 0,040909,1004,1,0,20,0.0,20
reputation = 0,040909,1004,2,1,80,0.5,100
reputation = 0,040909,1004,3,1,10,0.6666666666666666,110
reputation = 0,040909,1004,4,0,20,0.5,130
reputation = 0,040909,1004,5,0,20,0.4,150
reputation = 0,040909,1004,6,0,90,0.3333333333333333,240
reputation = 0,040909,1004,7,0,20,0.2857142857142857,260
reputation = 0,040909,1004,8,0,20,0.25,280
reputation = 0,040909,1004,9,0,90,0.2222222222222222,370
reputation = 0,040909,1004,10,0,20,0.2,390
reputation = 0,040909,1004,11,0,90,0.18181818181818182,480
reputation = 0,040909,1004,12,0,20,0.16666666666666666,500
reputation = 0,040909,1004,13,0,20,0.15384615384615385,520
reputation = 0,040909,1004,14,1,10,0.21428571428571427,530
reputation = 0,040909,1004,15,0,90,0.2,620
reputation = 0,040909,1004,16,0,90,0.1875,710
reputation = 0,040909,1004,17,0,90,0.17647058823529413,800
reputation = 0,040909,1004,18,0,90,0.16666666666666666,890
reputation = 0,040909,1004,19,0,20,0.15789473684210525,910
reputation = 0,040909,1004,20,0,20,0.15,930
reputation = 0,040909,1004,21,0,20,0.14285714285714285,950
reputation = 0,040909,1004,22,0,20,0.13636363636363635,970
reputation = 0,040909,1004,23,0,20,0.13043478260869565,990
reputation = 0,040909,1004,24,0,20,0.125,1010
reputation = 0,040909,1005,1,1,80,1.0,80
reputation = 0,040909,1005,2,1,10,1.0,90
reputation = 0,040909,1005,3,1,80,1.0,170
reputation = 0,040909,1005,4,1,10,1.0,180
reputation = 0,040909,1005,5,1,10,1.0,190
reputation = 0,040909,1005,6,1,10,1.0,200
reputation = 0,040909,1005,7,0,90,0.8571428571428571,290
reputation = 0,040909,1005,8,0,20,0.75,310
reputation = 0,040909,1005,9,1,10,0.7777777777777778,320
reputation = 0,040909,1005,10,0,20,0.7,340
reputation = 0,040909,1005,11,0,90,0.6363636363636364,430
reputation = 0,040909,1005,12,1,10,0.6666666666666666,440
reputation = 0,040909,1005,13,1,80,0.6923076923076923,520
reputation = 0,040909,1005,14,1,10,0.7142857142857143,530
reputation = 0,040909,1005,15,1,10,0.7333333333333333,540
reputation = 0,040909,1005,16,0,90,0.6875,630
reputation = 0,040909,1005,17,0,20,0.6470588235294118,650
reputation = 0,040909,1005,18,0,90,0.6111111111111112,740
reputation = 0,040909,1005,19,0,90,0.5789473684210527,830
reputation = 0,040909,1005,20,0,20,0.55,850
